full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used
C/2019 U6 (Lemmon),1003663,2458967.5,0.9979031887566779,436.025927851171,0.9142640678982692,61.00133862170884,235.7057545316621,329.6590580544367,359.9943901888965,2459019.321816983,7.0574E-7,.14673,1.7608E-7,1.9778E-5,2.1036E-5,1.9961E-5,2.2628E-5,2.8323E-6,753,2018-11-06,2020-11-28,1144.0
C/2020 A2 (Iwamoto),1003657,2458902.5,0.9990777045538989,1060.410619482585,0.9780118853460532,120.7501318570768,286.3794131153552,68.20920286561076,.001303806108415688,2458856.8206368983,3.8723E-5,44.533,1.0583E-5,9.1358E-5,.00023527,.0012448,.0011766,8.2165E-5,104,2020-01-09,2020-04-22,529.0
C/2020 H4 (Leonard),1003679,2458969.5,0.9923475020316592,122.5319780535993,0.9376757131119454,84.32545915088272,307.7634038613991,116.8264992437531,359.9118717150423,2459090.778945251,.00095119,15.313,.00064399,.0067155,.0042586,.054506,.02935,.016542,42,2020-04-21,2020-06-02,37.0
C/2020 R4 (ATLAS),1003720,2459286.5,0.9893645328999318,96.71291123891044,1.028586985633252,164.4633463260304,323.2724390283404,46.70793010918349,.01146596920075773,2459275.4354595253,5.441E-6,.049565,9.8125E-7,1.5201E-5,8.231E-5,.00011939,.00011026,8.9277E-6,549,2020-08-29,2022-03-01,2399.0
C/2021 A4 (NEOWISE),1003756,2459261.5,0.9732474830770553,42.81751843845139,1.145476386623166,111.5698337246359,307.0847624825824,204.6655661643786,359.887299781102,2459293.537080007,4.5661E-5,.07335,7.2456E-6,.00042267,.0002273,.0012492,.0012349,.00029394,185,2021-01-03,2021-07-07,683.0
C/2021 D1 (SWAN),1003769,2459292.5,0.9906488283356564,96.43685271696992,0.9017975645254088,31.46078130442246,311.2712216541829,72.2229618807321,.02018100797480953,2459273.108860853,6.3871E-5,.66006,1.2926E-5,.00015861,.00031184,.0012117,.00082469,.00020801,72,2021-02-28,2021-05-11,342.0
C/2021 F1 (Lemmon-PANSTARRS),1003834,2459641.5,0.9957013407361426,231.5714202771654,0.9954466310190567,107.3249916812853,203.4516043710536,146.8260951145685,359.9902455364062,2459676.3760070824,3.3989E-5,1.8336,1.1408E-5,.000174,.00012172,.0010839,.00087238,.0001161,220,2022-01-07,2022-08-15,403.0
C/2021 P4 (ATLAS),1003801,2459590.5,0.9965656049623853,314.6004269477172,1.080462145140696,56.31080115328572,348.0948794479647,175.8224042110464,359.964607651723,2459790.8753373707,2.7108E-6,.24854,1.6888E-6,1.9341E-5,4.3917E-5,.00010778,.00012441,4.1958E-5,346,2021-08-10,2022-07-22,954.0
C/2022 E3 (ZTF),1003845,2459873.5,1.000301899279413,-3684.157092308256,1.112244371412313,109.1694802153443,302.555019223584,145.8149286685123,-.0003692871266723633,2459957.285198878,6.0326E-7,7.3614,1.511E-7,6.7035E-6,7.0542E-6,1.6234E-5,2.0161E-5,1.1068E-6,809,2021-10-25,2024-01-12,5324.0
C/2023 A2 (SWAN),1003911,2460009.5,0.9982913280834154,554.5011037755044,0.9474604637363875,94.70835528443283,94.47108848597627,142.5833082159439,.003367380023357932,2459964.8890286344,.00020407,66.309,.00014306,.00046457,.0022918,.012661,.0054341,.00060443,77,2023-01-30,2023-04-17,159.0
C/2023 R2 (PANSTARRS),1003946,2460246.5,1.000726975857283,-1246.024129472222,0.905829459718354,30.73565325502372,188.9875983719728,337.1888550347654,-.006455508130270672,2460534.581942932,1.5541E-5,26.645,8.9242E-6,.00031482,.00038039,.00057465,.0043073,.00020698,195,2023-09-10,2024-03-23,309.0
C/2023 S2 (ATLAS),1003945,2460228.5,0.9928867609970752,150.1025922244971,1.067715613451413,20.4854364759366,230.5621762152739,78.10915999923586,359.9976539790673,2460232.8773381542,6.5678E-5,1.3875,1.1243E-5,8.7554E-5,.00067947,.0003774,.00035739,3.2376E-5,70,2023-09-28,2023-12-07,392.0
C/2023 V4 (Camarasa-Duszanowicz),1003958,2460431.5,1.001001642220273,-1119.864326517999,1.121703390418006,67.12999544970212,66.32590736850038,50.85418031484183,-.0007722754684452417,2460460.8640720607,1.3395E-6,1.4977,3.2184E-7,2.2754E-5,3.185E-5,3.214E-5,4.0941E-5,1.549E-6,342,2023-11-05,2024-10-12,1124.0
C/2023 X1 (Leonard),1003962,2460290.5,0.9941511818103879,162.5093493381589,0.950487638391057,110.5866515509952,137.0106680936667,321.470853591162,.02612434528310261,2460235.5890612444,6.784E-5,1.8909,3.5156E-5,.00054291,.00093133,.0041008,.0023003,.00045706,89,2023-11-01,2024-01-29,255.0
